region_id,city,location,country,
21320,Daegu,Daegu,,
21321,Incheon,Incheon,,
21322,Gwangju,Gwangju,,
21323,Daejeon,Daejeon,,
21324,Ulsan,Ulsan,,
21325,Gyeonggi-do,Gyeonggi-do,,
21326,Gangwon-do,Gangwon-do,,
21327,Chungcheongbuk-do,Chungcheongbuk-do,,
21328,Chungcheongnam-do,Chungcheongnam-do,,
21329,Jeollabuk-do,Jeollabuk-do,,
21330,Jeollanam-do,Jeollanam-do,,
21331,Gyeongsangbuk-do,Gyeongsangbuk-do,,
21332,Gyeongsangnam-do,Gyeongsangnam-do,,
21333,Jeju-do,Jeju-do,,
21346,Tuva,Tuva,,
21347,Chechnya,Chechnya,,
21348,Chuvashia Republic,Chuvashia Republic,,
21350,Koryakskiy avtonomniy okrug,Koryakskiy avtonomniy okrug,,
21351,Nenets Autonomous Okrug,Nenets Autonomous Okrug,,
21353,Evenkiysky District,Evenkiysky District,,
21385,Altai Krai,Altai Krai,,
21494,Central Bohemian Region,Central Bohemian Region,,
21495,Hradec Kralove Region,Hradec Kralove Region,,
21496,Karlovy Vary Region,Karlovy Vary Region,,
21497,Liberec Region,Liberec Region,,
21498,Moravian-Silesian Region,Moravian-Silesian Region,,
21499,Olomouc Region,Olomouc Region,,
21500,Pardubice Region,Pardubice Region,,
21501,Plzen Region,Plzen Region,,
21502,Prague,Prague,,
21503,Usti nad Labem Region,Usti nad Labem Region,,
21504,Vysocina Region,Vysocina Region,,
21505,Zlin Region,Zlin Region,,
21506,Amazonas Department,Amazonas Department,,
21507,Arauca,Arauca,,
21508,Boyaca,Boyaca,,
21509,Caqueta,Caqueta,,
21510,Casanare,Casanare,,
21511,Cauca Department,Cauca Department,,
21512,Cesar,Cesar,,
21513,Choco,Choco,,
21514,Cordoba,Cordoba,,
21515,Guainia,Guainia,,
21516,Guaviare,Guaviare,,
21517,La Guajira,La Guajira,,
21518,North Santander,North Santander,,
21519,Quindio,Quindio,,
21520,San Andres and Providencia,San Andres and Providencia,,
21521,Sucre,Sucre,,
